NestNumber,BeeID,Treatment ,DurationX ,TemperatureX,DateCollected,Location,Position ,EstimatedSex,StageOnCollection,Instar1,Instar2,Instar34,Instar5,SpinStart,CocoonComplete,Mortality,MortalityDate ,DaystoDeath,DeathStage,Weight,Weight_Sept,Weight_November,Notes 
19,99,5,7,37,29-Apr,NH,6,0,0,,,,,,,1,29-Apr,0,0,,,,probably dead knocked off provision 4/29
20,100,5,7,37,29-Apr,NH,1,1,0,3,5,,,,,1,5-May,6,2,,,,5/5 dead yellow
20,101,5,7,37,29-Apr,NH,2,1,0,2,,,,,,1,29-Apr,0,0,,,,
20,102,5,7,37,29-Apr,NH,3,0,0,2,4,5,,,,1,14-May,16,4,,,,maybe dead 5/13 
20,103,5,7,37,29-Apr,NH,4,0,0,2,,,,,,1,3-May,4,1,,,,
20,104,5,7,37,29-Apr,NH,5,0,0,3,,,,,,1,4-May,5,1,,,,
20,105,5,7,37,29-Apr,NH,6,0,0,3,5,,,,,1,5-May,6,2,,,,5/5 dead 
21,108,5,7,37,2-May,SH,3,1,0,,,,,,,1,3-May,1,0,,,,wrinkly 5/2 dead 5/3
21,109,5,7,37,2-May,SH,4,0,0,2,4,8,,,,1,13-May,11,4,,,,"wrinkly 5/2, 5/8 not eating "
21,110,5,7,37,2-May,SH,5,0,0,3,4,,,,,1,8-May,6,2,,,,"5/7 not eating yellowing, 5/8 dead "
21,111,5,7,37,2-May,SH,6,0,0,,,,,,,1,3-May,1,0,,,,5/3 dead
22,114,5,7,37,30-Apr,NH,3,0,0,,,,,,,1,2-May,2,0,,,,5/2 dead deflated
22,115,5,7,37,30-Apr,NH,4,0,0,1,,,,,,1,2-May,2,1,,,,5/2 dead deflated
22,116,5,7,37,30-Apr,NH,5,0,0,,,,,,,1,3-May,2,0,,,,
22,117,5,7,37,30-Apr,NH,6,0,0,,,,,,,1,3-May,2,0,,,,
22,118,5,7,37,30-Apr,NH,7,0,0,,,,,,,1,2-May,2,0,,,,5/2 dead
7,32,3,7,33,24-Apr,NH,5,0,0,3,3,6,7,27,30,0,,,,0.1192,0.085,0.0861,5/5 weird poop long took picture
36,198,3,7,33,8-May,NH,3,1,0,2,4,6,8,31,34,0,,,,0.1283,0.0867,0.0861,
17,88,2,4,33,28-Apr,NH,7,0,0,3,4,9,10,32,33,0,,,,0.1198,0.0845,0.0852,
14,69,2,4,33,28-Apr,C4,3,0,0,2,3,6,10,25,37,0,,,,0.1182,0.0859,0.085,
23,123,3,7,33,30-Apr,NH,5,0,0,1,,,,,,1,4-May,4,1,,,,looks deflated 5/2
25,134,1,4,25,1-May,NH,6,0,0,4,9,12,17,35,39,0,,,,0.1162,0.0832,0.0845,
30,166,3,7,33,4-May,SH,4,0,0,3,4,5,9,27,30,0,,,,0.1187,0.0833,0.0844,
32,178,2,4,33,6-May,NH,4,0,0,1,3,4,8,25,30,0,,,,0.104,0.0819,0.0839,
28,156,3,7,33,3-May,NH,5,0,0,2,3,4,7,25,29,0,,,,0.1126,0.0831,0.0838,
9,43,4,4,37,25-Apr,SH,6,0,0,4,5,8,14,32,41,0,,,,0.1218,0.0731,0.0835,
25,129,1,4,25,1-May,NH,1,1,0,4,6,7,,,,1,15-May,14,4,,,,5/15 died brown
17,87,2,4,33,28-Apr,NH,6,0,0,3,3,6,10,32,33,0,,,,0.113,0.0801,0.0811,
36,201,3,7,33,8-May,NH,6,0,0,2,4,6,8,31,32,0,,,,0.1116,0.08,0.0808,
39,219,1,4,25,11-May,NH,3,1,0,2,4,7,11,28,31,0,,,,0.1179,0.0795,0.0797,
29,160,2,4,33,3-May,NH,3,0,0,2,3,4,9,28,30,0,,,,0.1233,0.0802,0.0796,
37,207,1,4,25,8-May,NH,6,0,0,2,5,6,12,26,30,0,,,,0.0883,0.0787,0.0789,
28,157,3,7,33,3-May,NH,6,0,0,3,4,6,7,23,27,0,,,,0.1109,0.0783,0.0786,
18,93,1,7,25,28-Apr,NH,5,0,0,3,5,7,11,28,34,0,,,,0.113,0.0753,0.0772,
11,55,3,7,33,26-Apr,NH,6,0,0,4,5,6,7,28,31,0,,,,0.1109,0.076,0.0771,
31,174,3,7,33,5-May,NH,6,0,0,3,4,7,9,27,31,0,,,,0.103,0.0748,0.0769,
32,180,2,4,33,6-May,NH,6,0,0,2,3,5,9,26,30,0,,,,0.1061,0.0766,0.0766,
39,220,1,7,25,11-May,NH,4,0,0,4,5,7,11,27,31,0,,,,0.1101,0.0768,0.0766,
26,141,3,7,33,1-May,C1,7,0,0,1,3,6,,,,1,9-May,8,4,,,,5/9 dead 
25,131,1,7,25,1-May,NH,3,0,0,4,6,7,12,31,37,0,,,,0.1125,0.0748,0.0763,
12,57,3,7,33,26-Apr,NH,2,1,0,2,3,6,7,28,30,0,,,,0.0959,0.0724,0.0762,
26,142,3,7,33,1-May,C1,8,0,0,1,3,6,7,26,32,0,,,,0.1084,0.0759,0.0761,
27,145,4,4,37,3-May,NH,1,1,0,1,2,5,,,,1,10-May,7,4,,,,5/9 dying 
24,127,1,7,25,30-Apr,NH,4,0,0,5,6,7,12,28,31,0,,,,0.1039,0.0739,0.0757,
27,147,4,4,37,3-May,NH,3,1,0,2,3,,,,,1,8-May,5,2,,,,dead 5/8
16,81,1,7,25,28-Apr,NH,6,0,0,5,6,9,13,27,33,0,,,,0.1071,0.0725,0.0751,
27,149,4,4,37,3-May,NH,5,0,0,3,,,,,,1,7-May,4,1,,,,off provision? 5/3
